TmStamp,Day_of_year,GHI,DHI,DNI,DNI_calc,Temperature,RH,Pressure,Wspd,SolarElevation,SolarAzimuth
2023-07-07 06:00:00+01:00,188.0,150.85139524671766,152.9813414255778,0.5125565785500739,0.0,16.17666662534078,79.33000005086264,1019.003330485026,1.4622222209142315,20.840574979782104,-102.60192498101128
2023-07-07 07:00:00+01:00,188.0,244.06433604149845,242.12824990895874,9.051655171886503,6.208202051660162,16.9407820248737,77.34078195241577,1019.3050298424406,1.5181564231658116,29.223452504120726,-90.4546256891176
2023-07-07 08:00:00+01:00,188.0,462.5555202907986,374.18378397623695,139.9109531296624,143.66037453107896,18.30833339691162,71.59333330790201,1019.6233276367187,2.0869444434841475,37.12087500890096,-76.93355002933079
2023-07-07 09:00:00+01:00,188.0,601.1587609658694,348.24581043946677,350.74361956972297,366.23956330907066,19.644692596776526,63.87821218820923,1019.9810010174799,2.1150837935215936,44.43895812007968,-61.4557710040215
2023-07-07 10:00:00+01:00,188.0,573.2767426236653,368.81316036891116,251.6830719987659,264.001451306165,20.12148997025367,59.679369644995745,1020.1249167543427,2.3386819464258615,50.66528086402696,-43.05117762874396
2023-07-07 11:00:00+01:00,188.0,668.4668455096418,352.30477302837096,372.6133461355927,389.4209289598525,21.29971187052878,55.110374703530965,1020.2224777177706,1.7729106584096848,54.75898275457816,-20.957265114578114
2023-07-07 12:00:00+01:00,188.0,451.1252179363216,317.5324605460587,156.46348916482935,162.90113512742525,21.11489353353854,56.62978735230976,1020.4829778700251,1.0756838907767936,55.709863320672405,2.628930087130528
2023-07-07 13:00:00+01:00,188.0,505.98057669362714,268.76943221553677,286.3905459937775,298.2702306104059,21.06483873551892,58.279032381119265,1020.5296701738911,1.0180645164943511,53.19023229537471,26.81268397300474
2023-07-07 14:00:00+01:00,188.0,611.4355283621752,249.7110994982101,466.42582997907306,481.6183601034858,22.358501434326172,54.44207486639105,1020.4982723708798,1.1178674361204208,48.132155591541476,46.721801252117764
2023-07-07 15:00:00+01:00,188.0,528.8762868676482,196.45126025959595,509.04010145588234,516.187155173424,22.361581893964,50.830508506904216,1020.4062294825322,1.0669491552868806,41.20657624497925,63.74936440031407
2023-07-07 16:00:00+01:00,188.0,505.17284143235946,98.42025284237332,738.700255786048,738.7201652178084,22.72666670481364,46.54333337148031,1020.3533386230469,1.1672222228513824,33.44614994261,78.05275005764432
